Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 14_level_0
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
120,Sam Darnold,CAR,25,QB,6,6,26,106,2,10,26,4.1,17.7,6
121,Hassan Haskins,TEN,23,RB,15,1,25,93,0,5,12,3.7,6.2,0
122,Mike Boone,DEN,27,RB,9,0,24,102,0,6,18,4.3,11.3,0
123,Derek Carr*,LVR,31,QB,15,15,24,102,0,10,20,4.3,6.8,4
124,Trestan Ebner,CHI,23,RB,17,0,24,54,0,2,11,2.3,3.2,2
125,Nyheim Hines,2TM,26,RB,16,5,24,33,1,2,9,1.4,2.1,2
126,Raheem Blackshear,CAR,23,RB,13,1,23,77,3,7,16,3.3,5.9,1
127,Jimmy Garoppolo,SFO,31,QB,11,10,23,33,2,12,6,1.4,3.0,3
128,Craig Reynolds,DET,26,RB,9,0,23,102,0,4,21,4.4,11.3,0
129,Tua Tagovailoa,MIA,24,QB,13,13,23,70,0,4,18,3.0,5.4,6
130,Dontrell Hilliard,TEN,27,RB,12,1,22,145,0,4,30,6.6,12.1,0
131,J.D. McKissic,WAS,29,RB,8,0,22,95,0,5,33,4.3,11.9,0
132,Brock Purdy,SFO,23,QB,9,5,22,13,1,5,13,0.6,1.4,0
133,Carson Wentz,WAS,30,QB,8,7,22,86,1,4,18,3.9,10.8,6
134,Avery Williams,ATL,24,RB,17,3,22,109,1,6,21,5.0,6.4,1
135,Darrel Williams,ARI,27,RB,6,0,21,102,1,8,30,4.9,17.0,0
136,Jeff Driskel,HOU,29,QB,7,2,20,75,0,4,10,3.8,10.7,0
137,Benny Snell Jr.,PIT,24,RB,17,0,20,90,1,6,16,4.5,5.3,0
