Rk,Player,Team,Age,Pos,Games,Games Started,Targets,Receptions,Catch Percentage,Yards,Yards per Reception,Touchdowns,First Down Receiving,Longest Reception,Yards per Target,Receptions per Game,Yards per Game,Fumbles
207,Kyle Juszczyk*,SFO,31,FB,16,12,23,19,82.6%,200,10.5,1,9,35,8.7,1.2,12.5,0
208,Johnny Mundt,MIN,28,TE,17,12,21,19,90.5%,140,7.4,1,9,17,6.7,1.1,8.2,0
209,Dante Pettis,CHI,27,WR,17,7,41,19,46.3%,245,12.9,3,9,51,6.0,1.1,14.4,1
210,Tre'Quan Smith,NOR,26,WR,15,6,27,19,70.4%,278,14.6,1,14,48,10.3,1.3,18.5,0
211,Tommy Tremble,CAR,22,TE,17,4,32,19,59.4%,174,9.2,3,9,29,5.4,1.1,10.2,1
212,Tutu Atwell,LAR,23,WR,13,4,35,18,51.4%,298,16.6,1,11,62,8.5,1.4,22.9,0
213,Braxton Berrios,NYJ,27,WR,17,2,32,18,56.3%,145,8.1,0,8,25,4.5,1.1,8.5,1
214,Adam Trautman,NOR,25,TE,15,12,22,18,81.8%,207,11.5,1,9,22,9.4,1.2,13.8,0
215,Brock Wright,DET,24,TE,17,10,24,18,75.0%,216,12.0,4,13,51,9.0,1.1,12.7,0
216,DeeJay Dallas,SEA,24,RB,15,0,19,17,89.5%,126,7.4,0,5,41,6.6,1.1,8.4,1
217,Kenyan Drake,BAL,28,RB,12,5,26,17,65.4%,89,5.2,1,7,15,3.4,1.4,7.4,1
218,Clyde Edwards-Helaire,KAN,23,RB,10,6,23,17,73.9%,151,8.9,3,11,25,6.6,1.7,15.1,0
219,Ezekiel Elliott,DAL,27,RB,15,14,23,17,73.9%,92,5.4,0,4,31,4.0,1.1,6.1,0
220,Damien Harris,NWE,25,RB,11,9,23,17,73.9%,97,5.7,0,4,15,4.2,1.5,8.8,0
221,Darrell Henderson,LAR,25,RB,10,7,22,17,77.3%,102,6.0,0,5,15,4.6,1.7,10.2,0
222,Mitchell Wilcox,CIN,26,TE,16,4,18,17,94.4%,139,8.2,1,6,19,7.7,1.1,8.7,0
223,Tyler Allgeier,ATL,22,RB,16,7,17,16,94.1%,139,8.7,1,8,26,8.2,1.0,8.7,0
224,Marquez Callaway,NOR,24,WR,14,3,32,16,50.0%,158,9.9,1,11,33,4.9,1.1,11.3,0
225,Chase Edmonds,2TM,26,RB,13,3,24,16,66.7%,157,9.8,1,7,27,6.5,1.2,12.1,0
226,Travis Homer,SEA,24,RB,10,1,18,16,88.9%,157,9.8,1,7,27,8.7,1.6,15.7,1
227,Mark Ingram,NOR,33,RB,10,3,18,16,88.9%,68,4.3,0,2,11,3.8,1.6,6.8,2
228,MyCole Pruitt,ATL,30,TE,13,4,21,16,76.2%,150,9.4,4,10,29,7.1,1.2,11.5,0
229,Amari Rodgers,2TM,23,N/A,16,1,25,16,64.0%,204,12.8,1,12,37,8.2,1.0,12.8,6
230,Michael Thomas,NOR,29,WR,3,3,22,16,72.7%,171,10.7,3,13,21,7.8,5.3,57.0,0
231,Kadarius Toney,2TM,23,WR,9,4,20,16,80.0%,171,10.7,2,8,38,8.6,1.8,19.0,1
232,Sammy Watkins,2TM,29,N/A,12,5,27,16,59.3%,325,20.3,0,11,55,12.0,1.3,27.1,1
233,Javonte Williams,DEN,22,RB,4,4,22,16,72.7%,76,4.8,0,4,13,3.5,4.0,19.0,1
234,Rashod Bateman,BAL,23,WR,6,5,28,15,53.6%,285,19.0,2,7,75,10.2,2.5,47.5,1
235,Ashton Dulin,IND,25,WR,12,2,22,15,68.2%,207,13.8,1,12,39,9.4,1.3,17.3,0
236,Alec Ingold,MIA,26,FB,17,14,23,15,65.2%,105,7.0,1,4,17,4.6,0.9,6.2,0
237,Trenton Irwin,CIN,27,WR,9,2,23,15,65.2%,231,15.4,4,12,45,10.0,1.7,25.7,0
238,Alexander Mattison,MIN,24,RB,17,0,18,15,83.3%,91,6.1,1,4,16,5.1,0.9,5.4,0
239,Zach Pascal,PHI,28,WR,17,2,19,15,78.9%,150,10.0,1,9,34,7.9,0.9,8.8,0
240,Eric Saubert,DEN,28,TE,17,6,24,15,62.5%,148,9.9,1,6,25,6.2,0.9,8.7,0
241,Durham Smythe,MIA,27,TE,16,15,20,15,75.0%,129,8.6,1,7,26,6.5,0.9,8.1,0
242,Justin Watson,KAN,26,WR,17,5,34,15,44.1%,315,21.0,2,12,67,9.3,0.9,18.5,0
243,John Bates,WAS,25,TE,16,7,22,14,63.6%,108,7.7,1,4,20,4.9,0.9,6.8,1
244,Chuba Hubbard,CAR,23,RB,15,2,17,14,82.4%,171,12.2,0,5,45,10.1,0.9,11.4,2
245,Brevin Jordan,HOU,22,TE,11,3,28,14,50.0%,128,9.1,0,7,20,4.6,1.3,11.6,0
246,Joshua Kelley,LAC,25,RB,13,1,25,14,56.0%,101,7.2,0,4,22,4.0,1.1,7.8,0
247,Ray-Ray McCloud,SFO,26,WR,17,2,25,14,56.0%,243,17.4,1,11,42,9.7,0.8,14.3,2
248,Josh Oliver,BAL,25,TE,17,9,25,14,56.0%,149,10.6,2,7,40,6.0,0.8,8.8,0
249,Steven Sims,PIT,25,WR,12,2,23,14,60.9%,104,7.4,0,5,28,4.5,1.2,8.7,3
250,Cam Akers,LAR,23,RB,15,9,18,13,72.2%,117,9.0,0,8,18,6.5,0.9,7.8,2
251,Damiere Byrd,ATL,29,WR,14,4,23,13,56.5%,268,20.6,2,9,75,11.7,0.9,19.1,0
252,Lawrence Cager,2TM,25,TE,7,4,19,13,68.4%,118,9.1,1,8,20,6.2,1.9,16.9,0
253,Josiah Deguara,GNB,25,TE,17,3,15,13,86.7%,114,8.8,0,4,25,7.6,0.8,6.7,0
254,KhaDarel Hodge,ATL,27,WR,17,1,20,13,65.0%,202,15.5,1,7,39,10.1,0.8,11.9,0
255,Zonovan Knight,NYJ,21,RB,7,4,14,13,92.9%,100,7.7,0,5,16,7.1,1.9,14.3,2
256,Isiah Pacheco,KAN,23,RB,17,11,14,13,92.9%,130,10.0,0,7,32,9.3,0.8,7.6,4
257,Sterling Shepard,NYG,29,WR,3,2,24,13,54.2%,154,11.8,1,4,65,6.4,4.3,51.3,0
258,Avery Williams,ATL,24,RB,17,3,14,13,92.9%,61,4.7,0,3,10,4.4,0.8,3.6,1
259,Pharaoh Brown,2TM,28,TE,16,8,20,12,60.0%,117,9.8,0,6,30,5.9,0.8,7.3,0
260,Connor Heyward,PIT,23,TE,17,0,17,12,70.6%,151,12.6,1,6,45,8.9,0.7,8.9,0
261,Justice Hill,BAL,25,RB,15,0,12,12,100.0%,58,4.8,0,2,15,4.8,0.8,3.9,2
262,Justin Jackson,DET,26,RB,16,0,19,12,63.2%,101,8.4,1,7,15,5.3,0.8,6.3,0
263,Ty Johnson,NYJ,25,RB,17,1,24,12,50.0%,88,7.3,0,3,16,3.7,0.7,5.2,0
264,Geoff Swaim,TEN,29,TE,17,13,16,12,75.0%,58,4.8,1,4,13,3.6,0.7,3.4,0
265,Jamaal Williams,DET,27,RB,17,9,16,12,75.0%,73,6.1,0,4,17,4.6,0.7,4.3,3
266,Cedrick Wilson Jr.,MIA,27,WR,15,0,18,12,66.7%,136,11.3,0,8,21,7.6,0.8,9.1,0
