Rk,Player,Team,Age,Pos,Games,Games Started,Targets,Receptions,Catch Percentage,Yards,Yards per Reception,Touchdowns,First Down Receiving,Longest Reception,Yards per Target,Receptions per Game,Yards per Game,Fumbles
1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.6%,1809,14.1,8,80,64,9.8,7.5,106.4,0
2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.0%,1710,14.4,7,77,64,10.1,7.0,100.6,1
3,Travis Kelce*+,KAN,33,TE,17,17,152,110,72.4%,1338,12.2,12,78,52,8.8,6.5,78.7,1
4,Stefon Diggs*,BUF,29,WR,16,16,154,108,70.1%,1429,13.2,11,74,53,9.3,6.8,89.3,1
5,Austin Ekeler,LAC,27,RB,17,17,127,107,84.3%,722,6.7,5,36,23,5.7,6.3,42.5,5
6,CeeDee Lamb*,DAL,23,WR,17,17,156,107,68.6%,1359,12.7,9,67,39,8.7,6.3,79.9,0
7,Amon-Ra St. Brown*,DET,23,WR,16,16,146,106,72.6%,1161,11.0,6,68,49,8.0,6.6,72.6,0
8,Chris Godwin,TAM,26,WR,15,13,142,104,73.2%,1023,9.8,3,53,44,7.2,6.9,68.2,2
9,Davante Adams*+,LVR,30,WR,17,17,180,100,55.6%,1516,15.2,14,65,60,8.4,5.9,89.2,1
10,Michael Pittman Jr.,IND,25,WR,16,16,141,99,70.2%,925,9.3,4,51,28,6.6,6.2,57.8,2
